98,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,YOW
99,Prince Albert Glass Field,Prince Albert,Canada,YPA
100,Peace River Airport,Peace River,Canada,YPE
101,Southport Airport,Portage-la-prairie,Canada,YPG
102,Pickle Lake Airport,Pickle Lake,Canada,YPL
103,Port Menier Airport,Port Menier,Canada,YPN
104,Peterborough Airport,Peterborough,Canada,YPQ
105,Prince Rupert Airport,Prince Pupert,Canada,YPR
106,Fort Chipewyan Airport,Fort Chipewyan,Canada,YPY
107,Muskoka Airport,Muskoka,Canada,YQA
108,Quebec Jean Lesage International Airport,Quebec,Canada,YQB
109,Red Deer Regional Airport,Red Deer Industrial,Canada,YQF
110,Windsor Airport,Windsor,Canada,YQG
111,Watson Lake Airport,Watson Lake,Canada,YQH
112,Kenora Airport,Kenora,Canada,YQK
113,Lethbridge County Airport,Lethbridge,Canada,YQL
114,Greater Moncton International Airport,Moncton,Canada,YQM
115,Comox Airport,Comox,Canada,YQQ
116,Regina International Airport,Regina,Canada,YQR
117,Thunder Bay Airport,Thunder Bay,Canada,YQT
118,Grande Prairie Airport,Grande Prairie,Canada,YQU
119,Yorkton Municipal Airport,Yorkton,Canada,YQV
120,North Battleford Airport,North Battleford,Canada,YQW
121,Gander International Airport,Gander,Canada,YQX
122,Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,YQY
123,Quesnel Airport,Quesnel,Canada,YQZ
124,Resolute Bay Airport,Resolute,Canada,YRB
125,Rivière-du-Loup Airport,Riviere Du Loup,Canada,YRI
126,Roberval Airport,Roberval,Canada,YRJ
127,Rocky Mountain House Airport,Rocky Mountain House,Canada,YRM
128,Rankin Inlet Airport,Rankin Inlet,Canada,YRT
129,Sudbury Airport,Sudbury,Canada,YSB
130,Sherbrooke Airport,Sherbrooke,Canada,YSC
131,Saint John Airport,St. John,Canada,YSJ
132,Fort Smith Airport,Fort Smith,Canada,YSM
133,Nanisivik Airport,Nanisivik,Canada,YSR
134,Summerside Airport,Summerside,Canada,YSU
135,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,YSY
136,Cape Dorset Airport,Cape Dorset,Canada,YTE
137,Thompson Airport,Thompson,Canada,YTH
138,CFB Trenton,Trenton,Canada,YTR
139,Timmins/Victor M. Power,Timmins,Canada,YTS
140,Billy Bishop Toronto City Centre Airport,Toronto,Canada,YTZ
141,Tuktoyaktuk Airport,Tuktoyaktuk,Canada,YUB
142,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL
143,Repulse Bay Airport,Repulse Bay,Canada,YUT
144,Hall Beach Airport,Hall Beach,Canada,YUX
145,Rouyn Noranda Airport,Rouyn,Canada,YUY
146,La Ronge Airport,La Ronge,Canada,YVC
147,Vermilion Airport,Vermillion,Canada,YVG
148,Qikiqtarjuaq Airport,Broughton Island,Canada,YVM
149,Val-d'Or Airport,Val D'or,Canada,YVO
150,Kuujjuaq Airport,Quujjuaq,Canada,YVP
151,Norman Wells Airport,Norman Wells,Canada,YVQ
152,Vancouver International Airport,Vancouver,Canada,YVR
153,Buffalo Narrows Airport,Buffalo Narrows,Canada,YVT
154,Wiarton Airport,Wiarton,Canada,YVV
155,Petawawa Airport,Petawawa,Canada,YWA
156,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,YWG
157,Wabush Airport,Wabush,Canada,YWK
158,Williams Lake Airport,Williams Lake,Canada,YWL
159,Wrigley Airport,Wrigley,Canada,YWY
160,Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,YXC
161,Edmonton City Centre (Blatchford Field) Airport,Edmonton,Canada,YXD
162,Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,YXE
163,Medicine Hat Airport,Medicine Hat,Canada,YXH
164,Fort St John Airport,Fort Saint John,Canada,YXJ
165,Sioux Lookout Airport,Sioux Lookout,Canada,YXL
166,Pangnirtung Airport,Pangnirtung,Canada,YXP
167,Earlton (Timiskaming Regional) Airport,Earlton,Canada,YXR
168,Prince George Airport,Prince George,Canada,YXS
169,Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,YXT
170,London Airport,London,Canada,YXU
171,Abbotsford Airport,Abbotsford,Canada,YXX
172,Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,YXY
173,North Bay Airport,North Bay,Canada,YYB
174,Calgary International Airport,Calgary,Canada,YYC
175,Smithers Airport,Smithers,Canada,YYD
176,Fort Nelson Airport,Fort Nelson,Canada,YYE
177,Penticton Airport,Penticton,Canada,YYF
178,Charlottetown Airport,Charlottetown,Canada,YYG
179,Taloyoak Airport,Spence Bay,Canada,YYH
180,Victoria International Airport,Victoria,Canada,YYJ
181,Lynn Lake Airport,Lynn Lake,Canada,YYL
182,Swift Current Airport,Swift Current,Canada,YYN
183,Churchill Airport,Churchill,Canada,YYQ
184,Goose Bay Airport,Goose Bay,Canada,YYR
185,St. John's International Airport,St. John's,Canada,YYT
186,Kapuskasing Airport,Kapuskasing,Canada,YYU
187,Armstrong Airport,Armstrong,Canada,YYW
188,Mont Joli Airport,Mont Joli,Canada,YYY
189,Lester B. Pearson International Airport,Toronto,Canada,YYZ
190,Downsview Airport,Toronto,Canada,YZD
191,Gore Bay Manitoulin Airport,Gore Bay,Canada,YZE
192,Yellowknife Airport,Yellowknife,Canada,YZF
193,Slave Lake Airport,Slave Lake,Canada,YZH
194,Sandspit Airport,Sandspit,Canada,YZP
195,Chris Hadfield Airport,Sarnia,Canada,YZR
196,Port Hardy Airport,Port Hardy,Canada,YZT
197,Whitecourt Airport,Whitecourt,Canada,YZU
198,Sept-Îles Airport,Sept-iles,Canada,YZV
199,Teslin Airport,Teslin,Canada,YZW
200,CFB Greenwood,Greenwood,Canada,YZX
201,Faro Airport,Faro,Canada,ZFA
202,Fort Mcpherson Airport,Fort Mcpherson,Canada,ZFM
203,Soummam Airport,Bejaja,Algeria,BJA
204,Houari Boumediene Airport,Algier,Algeria,ALG
205,Djanet Inedbirene Airport,Djanet,Algeria,DJG
206,Boufarik Airport,Boufarik,Algeria,QFD
207,Illizi Takhamalt Airport,Illizi,Algeria,VVZ
208,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,TMR
209,Jijel Ferhat Abbas Airport,Jijel,Algeria,GJL
210,Annaba Airport,Annaba,Algeria,AAE
211,Mohamed Boudiaf International Airport,Constantine,Algeria,CZL
212,Cheikh Larbi Tébessi Airport,Tebessa,Algeria,TEE
213,Hassi R'Mel Airport,Tilrempt,Algeria,HRM
214,Bou Chekif Airport,Tiaret,Algeria,TID
215,Tindouf Airport,Tindouf,Algeria,TIN
216,Ech Cheliff Airport,Ech-cheliff,Algeria,QAS
217,Tafaraoui Airport,Oran,Algeria,TAF
218,Zenata – Messali El Hadj Airport,Tlemcen,Algeria,TLM
219,Es Senia Airport,Oran,Algeria,ORN
220,Ghriss Airport,Ghriss,Algeria,MUW
221,Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,AZR
222,Biskra Airport,Biskra,Algeria,BSK
223,El Golea Airport,El Golea,Algeria,ELG
224,Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,GHA
225,Oued Irara Airport,Hassi Messaoud,Algeria,HME
226,In Salah Airport,In Salah,Algeria,INZ
227,Touggourt Sidi Madhi Airport,Touggourt,Algeria,TGR
228,Laghouat Airport,Laghouat,Algeria,LOO
229,Timimoun Airport,Timimoun,Algeria,TMX
230,Ain el Beida Airport,Ouargla,Algeria,OGX
231,In Aménas Airport,Zarzaitine,Algeria,IAM
232,Cadjehoun Airport,Cotonou,Benin,COO
233,Ouagadougou Airport,Ouagadougou,Burkina Faso,OUA
234,Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,BOY
235,Kotoka International Airport,Accra,Ghana,ACC
236,Tamale Airport,Tamale,Ghana,TML
237,Sunyani Airport,Sunyani,Ghana,NYI
238,Takoradi Airport,Takoradi,Ghana,TKD
239,Port Bouet Airport,Abidjan,Cote d'Ivoire,ABJ
240,Bouaké Airport,Bouake,Cote d'Ivoire,BYK
241,Daloa Airport,Daloa,Cote d'Ivoire,DJO
242,Korhogo Airport,Korhogo,Cote d'Ivoire,HGO
243,Man Airport,Man,Cote d'Ivoire,MJC
244,San Pedro Airport,San Pedro,Cote d'Ivoire,SPY
245,Yamoussoukro Airport,Yamoussoukro,Cote d'Ivoire,ASK
246,Nnamdi Azikiwe International Airport,Abuja,Nigeria,ABV
247,Akure Airport,Akure,Nigeria,AKR
248,Benin Airport,Benin,Nigeria,BNI
249,Margaret Ekpo International Airport,Calabar,Nigeria,CBQ
250,Akanu Ibiam International Airport,Enugu,Nigeria,ENU
251,Gusau Airport,Gusau,Nigeria,QUS
252,Ibadan Airport,Ibadan,Nigeria,IBA
253,Ilorin International Airport,Ilorin,Nigeria,ILR
254,Yakubu Gowon Airport,Jos,Nigeria,JOS
255,Kaduna Airport,Kaduna,Nigeria,KAD
256,Mallam Aminu International Airport,Kano,Nigeria,KAN
257,Maiduguri International Airport,Maiduguri,Nigeria,MIU
258,Makurdi Airport,Makurdi,Nigeria,MDI
259,Murtala Muhammed International Airport,Lagos,Nigeria,LOS
260,Minna Airport,Minna,Nigeria,MXJ
261,Port Harcourt International Airport,Port Hartcourt,Nigeria,PHC
262,Sadiq Abubakar III International Airport,Sokoto,Nigeria,SKO
263,Yola Airport,Yola,Nigeria,YOL
264,Zaria Airport,Zaria,Nigeria,ZAR
265,Maradi Airport,Maradi,Niger,MFQ
266,Diori Hamani International Airport,Niamey,Niger,NIM
267,Tahoua Airport,Tahoua,Niger,THZ
268,Mano Dayak International Airport,Agadez,Niger,AJY
269,Zinder Airport,Zinder,Niger,ZND
270,Monastir Habib Bourguiba International Airport,Monastir,Tunisia,MIR
271,Tunis Carthage International Airport,Tunis,Tunisia,TUN
272,Gafsa Ksar International Airport,Gafsa,Tunisia,GAF
273,Gabès Matmata International Airport,Gabes,Tunisia,GAE
274,Djerba Zarzis International Airport,Djerba,Tunisia,DJE
275,El Borma Airport,El Borma,Tunisia,EBM
276,Sfax Thyna International Airport,Sfax,Tunisia,SFA
277,Tozeur Nefta International Airport,Tozeur,Tunisia,TOE
278,Niamtougou International Airport,Niatougou,Togo,LRL
279,Lomé-Tokoin Airport,Lome,Togo,LFW
280,Antwerp International Airport (Deurne),Antwerp,Belgium,ANR
281,Brussels Airport,Brussels,Belgium,BRU
282,Brussels South Charleroi Airport,Charleroi,Belgium,CRL
283,Wevelgem Airport,Kortrijk-vevelgem,Belgium,QKT
284,Liège Airport,Liege,Belgium,LGG
285,Ostend-Bruges International Airport,Ostend,Belgium,OST
286,Altenburg-Nobitz Airport,Altenburg,Germany,AOC
287,Barth Airport,Barth,Germany,BBH
288,Berlin-Schönefeld International Airport,Berlin,Germany,SXF
289,Dresden Airport,Dresden,Germany,DRS
290,Erfurt Airport,Erfurt,Germany,ERF
291,Frankfurt am Main International Airport,Frankfurt,Germany,FRA
292,Münster Osnabrück Airport,Munster,Germany,FMO
293,Hamburg Airport,Hamburg,Germany,HAM
294,Berlin-Tempelhof International Airport,Berlin,Germany,THF
295,Cologne Bonn Airport,Cologne,Germany,CGN
296,Düsseldorf International Airport,Duesseldorf,Germany,DUS
297,Munich International Airport,Munich,Germany,MUC
298,Nuremberg Airport,Nuernberg,Germany,NUE
299,Leipzig Halle Airport,Leipzig,Germany,LEJ
300,Saarbrücken Airport,Saarbruecken,Germany,SCN
301,Stuttgart Airport,Stuttgart,Germany,STR
302,Berlin-Tegel International Airport,Berlin,Germany,TXL
303,Hannover Airport,Hannover,Germany,HAJ
304,Bremen Airport,Bremen,Germany,BRE
305,Frankfurt-Egelsbach Airport,Egelsbach,Germany,QEF
306,Frankfurt-Hahn Airport,Hahn,Germany,HHN
307,Mannheim-City Airport,Mannheim,Germany,MHG
308,Hamburg-Finkenwerder Airport,Hamburg,Germany,XFW
309,Kiel-Holtenau Airport,Kiel,Germany,KEL
310,Lübeck Blankensee Airport,Luebeck,Germany,LBC
311,Arnsberg-Menden Airport,Arnsberg,Germany,ZCA
312,Essen Mulheim Airport,Essen,Germany,ESS
313,Mönchengladbach Airport,Moenchengladbach,Germany,MGL
314,Paderborn Lippstadt Airport,Paderborn,Germany,PAD
315,Dortmund Airport,Dortmund,Germany,DTM
316,Augsburg Airport,Augsburg,Germany,AGB
317,Oberpfaffenhofen Airport,Oberpfaffenhofen,Germany,OBF
318,Straubing Airport,Straubing,Germany,RBM
319,Friedrichshafen Airport,Friedrichshafen,Germany,FDH
320,Schwerin Parchim Airport,Parchim,Germany,SZW
321,Stendal-Borstel Airport,Stendal,Germany,ZSN
322,Bayreuth Airport,Bayreuth,Germany,BYU
323,Hof-Plauen Airport,Hof,Germany,HOQ
324,Koblenz-Winningen Airport,Koblenz,Germany,ZNV
325,Trier-Föhren Airport,Trier,Germany,ZQF
326,Speyer Airport,Speyer,Germany,ZQC
327,Zweibrücken Airport,Zweibruecken,Germany,ZQW
328,Donaueschingen-Villingen Airport,Donaueschingen,Germany,ZQL
329,Braunschweig Wolfsburg Airport,Braunschweig,Germany,BWE
330,Kassel-Calden Airport,Kassel,Germany,KSF
331,Bremerhaven Airport,Bremerhaven,Germany,BRV
332,Emden Airport,Emden,Germany,EME
333,Wilhelmshaven-Mariensiel Airport,Wilhelmshaven,Germany,WVN
334,Borkum Airport,Borkum,Germany,BMK
335,Norderney Airport,Norderney,Germany,NRD
336,Flensburg-Schäferhaus Airport,Flensburg,Germany,FLF
337,Westerland Sylt Airport,Westerland,Germany,GWT
338,Kärdla Airport,Kardla,Estonia,KDL
339,Kuressaare Airport,Kuressaare,Estonia,URE
340,Pärnu Airport,Parnu,Estonia,EPU
